iter	Logloss
0	0.6060698538
1	0.5459448497
2	0.5192627762
3	0.4980846752
4	0.4812465148
5	0.4496842587
6	0.4359958533
7	0.4260808771
8	0.4226172476
9	0.4147970604
10	0.4101575794
11	0.4064333945
12	0.4009584369
13	0.3829970504
14	0.3789490786
15	0.3671359438
16	0.3632765105
17	0.3571463209
18	0.3533364498
19	0.3500688726
20	0.3484682603
21	0.3462054513
22	0.3421603694
23	0.339626948
24	0.3375623298
25	0.334851525
26	0.3330170314
27	0.3312630509
28	0.3296693744
29	0.3270444581
30	0.3256271247
31	0.3243050431
32	0.3224906921
33	0.3213806152
34	0.3197444569
35	0.3121037339
36	0.310196732
37	0.3048447407
38	0.3012647918
39	0.3004307602
40	0.2978854324
41	0.2951522307
42	0.2931572885
43	0.2921883554
44	0.2909851652
45	0.2899544167
46	0.2888603788
47	0.2880512584
48	0.2865337025
49	0.2857474992
50	0.2817972357
51	0.2796686346
52	0.2786575086
53	0.2772300027
54	0.275421894
55	0.2741159092
56	0.2729426875
57	0.2720161785
58	0.2707761996
59	0.2696038159
60	0.2664834803
61	0.2655552373
62	0.2650600202
63	0.2640310056
64	0.2630480275
65	0.2623006647
66	0.2615055893
67	0.2601492622
68	0.2592554959
69	0.2582947991
70	0.2574914874
71	0.2570448789
72	0.2562267419
73	0.255336617
74	0.2549838442
75	0.2541808793
76	0.253005808
77	0.2522324071
78	0.2516016816
79	0.2508311416
80	0.2498683351
81	0.2489566225
82	0.248396729
83	0.2473300009
84	0.2464392113
85	0.2458274726
86	0.244830276
87	0.2439726916
88	0.2432793126
89	0.2426539623
90	0.2419278983
91	0.241203626
92	0.240415472
93	0.2401173621
94	0.2395893444
95	0.2389409181
96	0.2381491806
97	0.2377145507
98	0.2370918592
99	0.2364681706
100	0.2357065027
101	0.2350764419
102	0.2341789188
103	0.2334771734
104	0.2329227997
105	0.2322862799
106	0.2317418763
107	0.2312835491
108	0.2310239185
109	0.230398785
110	0.2299754836
111	0.2294735909
112	0.2288469257
113	0.228378556
114	0.2275609392
115	0.2269995429
116	0.2252283963
117	0.2250325174
118	0.2245438749
119	0.2241941799
120	0.223404971
121	0.2229152737
122	0.2223335035
123	0.2219874353
124	0.2214901086
125	0.2184479164
126	0.2181047093
127	0.2176922451
128	0.2171909737
129	0.2166200551
130	0.2159763105
131	0.2154562835
132	0.2150703921
133	0.2145907951
134	0.2141159376
135	0.2137951706
136	0.2133705833
137	0.2130204403
138	0.2125079415
139	0.2120712309
140	0.2115927899
141	0.2101375406
142	0.2097325614
143	0.2092786847
144	0.2089385553
145	0.2086160833
146	0.2082824996
147	0.2080169013
148	0.2078609756
149	0.2075125376
150	0.2070300073
151	0.2066192627
152	0.2041804863
153	0.2039066084
154	0.2035118161
155	0.2029588439
156	0.2025040424
157	0.2022433859
158	0.2018043056
159	0.201396133
160	0.2010353117
161	0.2007177237
162	0.2003675374
163	0.2000771725
164	0.1981333819
165	0.1976443204
166	0.1972791354
167	0.1970263394
168	0.1966127338
169	0.1963417458
170	0.1959417517
171	0.1957026828
172	0.1953202594
173	0.1950098674
174	0.1946948803
175	0.1942760583
176	0.1938915831
177	0.1936174739
178	0.1933408506
179	0.1930810466
180	0.1928166476
181	0.1925471046
182	0.1922081745
183	0.1919625311
184	0.1916714437
185	0.1912995252
186	0.1910500815
187	0.1908104636
188	0.1905524803
189	0.1902833274
190	0.1900598786
191	0.1898169662
192	0.189648108
193	0.1892867377
194	0.1890095797
195	0.1887594136
196	0.1879169869
197	0.1876574863
198	0.1873614571
199	0.1866861257
