iter	Passed	Remaining
0	0	122
1	0	94
2	1	83
3	1	77
4	1	73
5	2	72
6	20	572
7	21	512
8	21	460
9	22	418
10	23	399
11	23	370
12	24	359
13	25	340
14	26	321
15	33	384
16	33	364
17	34	345
18	34	329
19	34	314
20	36	308
21	38	314
22	40	308
23	40	296
24	40	285
25	41	276
26	41	267
27	42	258
28	42	251
29	55	315
30	56	306
31	56	297
32	57	289
33	67	331
34	68	323
35	69	316
36	71	314
37	73	314
38	74	307
39	75	302
40	76	296
41	77	291
42	78	286
43	79	281
44	80	276
45	81	272
46	82	268
47	83	264
48	84	260
49	85	256
50	86	253
51	89	255
52	91	252
53	101	273
54	108	284
55	109	280
56	109	275
57	110	270
58	111	265
59	112	261
60	113	259
61	114	255
62	124	269
63	125	266
64	126	262
65	127	259
66	129	256
67	129	251
68	130	247
69	131	243
70	142	258
71	142	253
72	143	249
73	144	246
74	145	242
75	146	238
76	147	235
77	147	231
78	155	238
79	156	234
80	157	231
81	158	227
82	158	223
83	159	219
84	160	216
85	161	213
86	161	210
87	165	211
88	166	207
89	168	205
90	168	202
91	169	198
92	175	201
93	175	198
94	180	199
95	181	196
96	181	193
97	182	190
98	183	187
99	183	183
100	184	180
101	184	177
102	184	174
103	189	174
104	190	172
105	190	169
106	190	165
107	191	163
108	192	160
109	194	158
110	195	156
111	196	154
112	197	151
113	197	149
114	198	146
115	199	144
116	199	141
117	200	139
118	201	136
119	201	134
120	202	131
121	202	129
122	205	128
123	207	127
124	208	125
125	209	123
126	210	120
127	210	118
128	211	116
129	211	114
130	212	111
131	212	109
132	213	107
133	213	105
134	214	103
135	215	101
136	215	99
137	216	97
138	216	95
139	217	93
140	218	91
141	219	89
142	220	87
143	221	86
144	221	84
145	222	82
146	222	80
147	223	78
148	223	76
149	224	74
150	224	72
151	225	71
152	225	69
153	226	67
154	226	65
155	227	64
156	227	62
157	228	60
158	229	59
159	230	57
160	231	56
161	232	54
162	233	52
163	233	51
164	234	49
165	234	48
166	234	46
167	235	44
168	236	43
169	236	41
170	237	40
171	237	38
172	238	37
173	238	35
174	242	34
175	243	33
176	243	31
177	244	30
178	245	28
179	245	27
180	246	25
181	247	24
182	247	23
183	248	21
184	248	20
185	249	18
186	249	17
187	249	15
188	250	14
189	251	13
190	251	11
191	252	10
192	253	9
193	253	7
194	254	6
195	254	5
196	255	3
197	256	2
198	256	1
199	257	0
